Image File,Inference Time (s),Memory Usage (MB),Temperature (°C)
95.jpg,0.6159765720367432,52.90625,60.6
84.jpg,0.3811311721801758,60.6875,60.6
70.jpg,0.3553173542022705,57.71875,60.6
117.jpg,0.4175276756286621,64.046875,61.15
55.jpg,0.3472466468811035,69.046875,62.25
45.jpg,0.3189277648925781,56.953125,61.7
106.jpg,0.3615379333496094,67.65625,63.35
75.jpg,0.354536771774292,63.890625,63.35
85.jpg,0.3560914993286133,65.25,63.9
40.jpg,0.34163856506347656,60.59375,62.8
10.png,0.36389708518981934,67.234375,62.8
9.png,0.35545849800109863,66.984375,64.45
91.jpg,0.35609889030456543,61.328125,63.9
7.png,0.5148570537567139,73.140625,63.9
33.png,0.2892329692840576,75.140625,64.45
1.jpg,0.41167569160461426,76.15625,65.0
97.jpg,0.3579883575439453,68.59375,65.0
61.jpg,0.35750722885131836,69.015625,65.0
83.jpg,0.3922269344329834,72.765625,65.55
57.jpg,0.35098767280578613,69.0625,63.9
73.jpg,0.35544729232788086,69.03125,65.0
62.jpg,0.36203765869140625,69.453125,63.35
43.jpg,0.3352835178375244,68.078125,65.0
8.png,0.3817117214202881,73.578125,65.0
2.jpg,0.35744214057922363,69.296875,65.0
41.jpg,0.35596632957458496,69.71875,64.45
60.jpg,0.2683544158935547,74.21875,64.45
13.png,0.35776495933532715,69.5625,65.55
51.jpg,0.313002347946167,60.390625,65.55
22.png,0.39316606521606445,74.0625,65.55
80.jpg,0.38279080390930176,74.078125,65.55
17.png,0.3834116458892822,75.9375,64.45
3.png,0.3600800037384033,69.234375,66.1
67.jpg,0.3328742980957031,68.359375,64.45
29.png,0.3220198154449463,78.359375,65.55
59.jpg,0.3603072166442871,74.046875,63.9
48.jpg,0.31554651260375977,64.921875,66.1
88.jpg,0.35964035987854004,69.8125,66.1
64.jpg,0.3592214584350586,69.734375,65.0
126.jpg,0.35614585876464844,69.46875,66.1
12.png,0.31681299209594727,64.84375,65.55
77.jpg,0.3614935874938965,69.234375,67.2
101.jpg,0.38536691665649414,74.125,65.0
30.png,0.3384554386138916,72.375,65.55
120.jpg,0.4065513610839844,74.3125,66.1
44.jpg,0.3129298686981201,64.546875,65.55
118.jpg,0.36319732666015625,69.4375,65.0
124.jpg,0.36162900924682617,69.359375,66.65
81.jpg,0.3841524124145508,74.25,66.65
112.jpg,0.4488959312438965,82.859375,66.1
38.png,0.35660743713378906,71.578125,66.1
25.png,0.3607053756713867,71.546875,66.1
5.png,0.3537783622741699,74.09375,66.65
53.jpg,0.35832858085632324,71.84375,65.55
108.jpg,0.5172231197357178,77.453125,64.45
113.jpg,0.30513429641723633,81.953125,66.1
93.jpg,0.35880208015441895,68.59375,66.65
